year,rank,song,singer,url,found,bpm,key,spotifyTitle,spotifyArtist
1981,14,Queen of Hearts,Juice Newton,https://www.youtube.com/watch?v=P0DK-0fIKCw,1,169.532,D Major,Queen Of Hearts,Juice Newton
1982,14,Rosanna,Toto,https://www.youtube.com/watch?v=qmOLtTGvsbM,0,,,,
1983,14,Shame on the Moon,Bob Seger & The Silver Bullet Band,https://www.youtube.com/watch?v=NuYCX5XK_So,1,105.806,A Major,Shame On The Moon,Bob Seger & The Silver Bullet Band
1984,14,Dancing in the Dark,Bruce Springsteen,https://www.youtube.com/watch?v=129kuDCQtHs,0,,,,
1985,14,We Built This City,Starship,https://www.youtube.com/watch?v=K1b8AhIsSYQ,1,144.091,F Major,We Built This City,Starship
1986,14,Glory of Love,Peter Cetera,https://www.youtube.com/watch?v=g70SpJ1qo5A,0,,,,
1987,14,Always,Atlantic Starr,https://www.youtube.com/watch?v=rxXPV144DOc,1,130.945,G Major,Always,Atlantic Starr
1988,14,The Flame,Cheap Trick,https://www.youtube.com/watch?v=muhFxXce6nA,1,97.074,E Major,The Flame,Cheap Trick
1989,14,Don't Wanna Lose You,Gloria Estefan,https://www.youtube.com/watch?v=J1x1WGtePSE,1,82.19,F Major,Don't Wanna Lose You,Gloria Estefan
1990,14,Opposites Attract,Paula Abdul,https://www.youtube.com/watch?v=xweiQukBM_k,0,,,,
1991,14,High Enough,Damn Yankees,https://www.youtube.com/watch?v=l_uh8XjgLTE,1,81.814,D Major,High Enough,Damn Yankees
1992,14,Black or White,Michael Jackson,https://www.youtube.com/watch?v=F2AitTPI5U0,1,115.026,A Major,Black or White,Michael Jackson
1993,14,Knockin' da Boots,H-Town,https://www.youtube.com/watch?v=dhK0hxQgf74,1,128.099,Db Minor,Knockin' da Boots,H-Town
1994,14,Whatta Man,"Salt-n-Pepa,En Vogue,",https://www.youtube.com/watch?v=e5XKOlOC57o,0,,,,
1995,14,Run-Around,Blues Traveler,https://www.youtube.com/watch?v=Eti4Xlc61qQ,0,,,,
1996,14,Exhale (Shoop Shoop),Whitney Houston,https://www.youtube.com/watch?v=wrTuV4Szxzo,1,137.954,Db Major,"Exhale (Shoop Shoop) - from ""Waiting to Exhale"" - Original Soundtrack",Whitney Houston
1997,14,You Make Me Wanna...,Usher,https://www.youtube.com/watch?v=bQRzrnH6_HY,1,164.088,F Minor,You Make Me Wanna...,USHER
1998,14,Gettin' Jiggy wit It,Will Smith,https://www.youtube.com/watch?v=3JcmQONgXJM,0,,,,
1999,14,Have You Ever?,Brandy,https://www.youtube.com/watch?v=Xkj1An6Wnec,0,,,,
2000,14,Thong Song,Sisqó,https://www.youtube.com/watch?v=Oai1V7kaFBk,1,121.543,D Major,Thong Song,Sisqo
2001,14,It's Been Awhile,Staind,https://www.youtube.com/watch?v=araU0fZj6oQ,1,116.529,Gb Major,It's Been Awhile,Staind
2002,14,The Middle,Jimmy Eat World,https://www.youtube.com/watch?v=oKsxPW6i3pM,0,,,,
2003,14,21 Questions,"50 Cent,Nate Dogg,",https://www.youtube.com/watch?v=cDMhlvbOFaM,0,,,,
2004,14,Freek-a-Leek,Petey Pablo,https://www.youtube.com/watch?v=M48nlk-1kH8,1,104.999,D Major,Freek-A-Leek,Petey Pablo
2005,14,Lose Control,"Missy Elliott,Ciara,Fatman Scoop,",https://www.youtube.com/watch?v=na7lIb09898,1,125.461,E Minor,Lose Control (feat. Ciara & Fat Man Scoop),"Missy Elliott, Ciara, Fatman Scoop"
2006,14,Me & U,Cassie,https://www.youtube.com/watch?v=FuXNumBwDOM,0,,,,
2007,14,Party Like a Rockstar,Shop Boyz,https://www.youtube.com/watch?v=82vpIsQ3lX8,0,,,,
2008,14,I Kissed a Girl,Katy Perry,https://www.youtube.com/watch?v=tAp9BKosZXs,0,,,,
2009,14,Use Somebody,Kings of Leon,https://www.youtube.com/watch?v=gnhXHvRoUd0,1,137.028,C Major,Use Somebody,Kings of Leon
2010,14,In My Head,Jason Derulo,https://www.youtube.com/watch?v=UyG1FG3H6rY,1,110.009,C Minor,In My Head,Jason Derulo
2011,14,Last Friday Night (T.G.I.F.),Katy Perry,https://www.youtube.com/watch?v=KlyXNRrsk4A,1,126.022,Eb Minor,Last Friday Night (T.G.I.F.),Katy Perry
2012,14,Some Nights,Fun,https://www.youtube.com/watch?v=qQkBeOisNM0,1,107.938,C Major,Some Nights,fun.
2013,14,Get Lucky,"Daft Punk,Pharrell Williams,",https://www.youtube.com/watch?v=5NV6Rdv1a3I,0,,,,
2014,14,Am I Wrong,Nico & Vinz,https://www.youtube.com/watch?v=bg1sT4ILG0w,1,119.968,Ab Major,Am I Wrong,Nico & Vinz
2015,14,Take Me to Church,Hozier,https://www.youtube.com/watch?v=lhxJNppEnOE,1,129.071,E Minor,Take Me To Church,Hozier
2016,14,My House,Flo Rida,https://www.youtube.com/watch?v=uo35R9zQsAI,0,,,,
2017,14,Mask Off,Future,https://www.youtube.com/watch?v=xvZqHgFz51I,1,150.062,D Major,Mask Off,Future
2018,14,Finesse,"Bruno Mars,Cardi B,",https://www.youtube.com/watch?v=LsoLEjrDogU,0,,,,
2019,14,Dancing with a Stranger,"Sam Smith,Normani,",https://www.youtube.com/watch?v=av5JD1dfj_c,1,102.998,Ab Major,Dancing With A Stranger (with Normani),"Sam Smith, Normani"
2020,14,Dance Monkey,Tones and I,https://www.youtube.com/watch?v=q0hyYWKXF0Q,0,,,,
2021,14,Positions,Ariana Grande,https://www.youtube.com/watch?v=tcYodQoapMg,0,,,,
2022,14,Thats What I Want,Lil Nas X,https://www.youtube.com/watch?v=QDYDRA5JPLE,1,87.981,Db Minor,THATS WHAT I WANT,Lil Nas X
1973,15,Me and Mrs. Jones,Billy Paul,https://www.youtube.com/watch?v=uXLEd1R1uKk,1,200.813,Ab Major,Me and Mrs. Jones,Billy Paul
1974,15,Show and Tell,Al Wilson,https://www.youtube.com/watch?v=4qgXxFG-Mok,1,173.554,D Major,Show and Tell,Al Wilson
1975,15,Kung Fu Fighting,Carl Douglas,https://www.youtube.com/watch?v=RqIw42FL3l0,1,102.288,D Major,Kung Fu Fighting,Carl Douglas
1976,15,Love Hangover,Diana Ross,https://www.youtube.com/watch?v=yOzO_4NS8NI,0,,,,
1977,15,Telephone Line,Electric Light Orchestra,https://www.youtube.com/watch?v=KfCDhjc1IWw,0,,,,
1978,15,Lay Down Sally,Eric Clapton,https://www.youtube.com/watch?v=UBT9cww54v4,0,,,,
1979,15,Fire,The Pointer Sisters,https://www.youtube.com/watch?v=s6drKhJbIqI,0,,,,
1980,15,Lost in Love,Air Supply,https://www.youtube.com/watch?v=rvVs0muI-gU,1,114.362,G Major,Lost In Love,Air Supply
1981,15,Rapture,Blondie,https://www.youtube.com/watch?v=pHCdS7O248g,1,107.486,B Minor,Rapture,Blondie
1982,15,I Can't Go for That (No Can Do),Hall & Oates,https://www.youtube.com/watch?v=ccenFp_3kq8,0,,,,
1983,15,She Works Hard for the Money,Donna Summer,https://www.youtube.com/watch?v=tuUEpbGVV2Y,1,136.503,Ab Minor,She Works Hard For The Money,Donna Summer
1984,15,Girls Just Want to Have Fun,Cyndi Lauper,https://www.youtube.com/watch?v=PIb6AZdTr-A,1,120.372,Gb Major,Girls Just Want to Have Fun,Cyndi Lauper
1985,15,The Power of Love,Huey Lewis and the News,https://www.youtube.com/watch?v=wBl2QGAIx1s,0,,,,
1986,15,West End Girls,Pet Shop Boys,https://www.youtube.com/watch?v=p3j2NYZ8FKs,1,113.259,E Minor,West End Girls - 2018 Remaster,Pet Shop Boys
1987,15,With or Without You,U2,https://www.youtube.com/watch?v=WZKnQRkWzLI,1,110.171,D Major,With Or Without You,U2
1988,15,"Get Outta My Dreams, Get into My Car",Billy Ocean,https://www.youtube.com/watch?v=zNgcYGgtf8M,1,117.14,E Major,"Get Outta My Dreams, Get Into My Car",Billy Ocean
1989,15,Heaven,Warrant,https://www.youtube.com/watch?v=rrSdXtFJG20,1,145.778,Gb Major,Heaven,Warrant
1990,15,Escapade,Janet Jackson,https://www.youtube.com/watch?v=UFX3gQHIroU,0,,,,
1991,15,From a Distance,Bette Midler,https://www.youtube.com/watch?v=lN4AcFzxtdE,1,137.989,G Major,From a Distance,Bette Midler
1992,15,Achy Breaky Heart,Billy Ray Cyrus,https://www.youtube.com/watch?v=byQIPdHMpjc,1,121.808,A Major,Achy Breaky Heart,Billy Ray Cyrus
1993,15,Lately,Jodeci,https://www.youtube.com/watch?v=FtMFUCJ47TQ,1,126.433,Db Major,Lately - Live From Uptown MTV Unplugged/1993/Edit,Jodeci
1994,15,Wild Night,"John Mellencamp,Meshell Ndegeocello,",https://www.youtube.com/watch?v=1nPPRQeTxTY,0,,,,
1995,15,I Can Love You Like That,All-4-One,https://www.youtube.com/watch?v=FEHQnTXC3SI,1,91.024,Ab Major,I Can Love You Like That,All-4-One
1996,15,Follow You Down,"Til I Hear It from You,Gin Blossoms,",https://www.youtube.com/watch?v=5LuH0ywYVQc,0,,,,
1997,15,Bitch,Meredith Brooks,https://www.youtube.com/watch?v=_ivt_N2Zcts,1,96.328,A Major,Bitch,Meredith Brooks
1998,15,You Make Me Wanna...,Usher,https://www.youtube.com/watch?v=bQRzrnH6_HY,1,164.088,F Minor,You Make Me Wanna...,USHER
1999,15,I Want It That Way,Backstreet Boys,https://www.youtube.com/watch?v=4fndeDfaWCg,0,,,,
2000,15,Kryptonite,3 Doors Down,https://www.youtube.com/watch?v=xPU8OAjjS4k,0,,,,
2001,15,U Remind Me,Usher,https://www.youtube.com/watch?v=Bxau9B3jOHM,1,93.985,Gb Major,U Remind Me,USHER
2002,15,I Need a Girl (Part One),"P. Diddy,Usher,Loon,",https://www.youtube.com/watch?v=zXYb1OMhwBA,0,,,,
2003,15,All I Have,"Jennifer Lopez,LL Cool J,",https://www.youtube.com/watch?v=yeSJ2YdhG5k,1,83.066,Db Major,All I Have (feat. LL Cool J),"Jennifer Lopez, LL COOL J"
2004,15,Here Without You,3 Doors Down,https://www.youtube.com/watch?v=kPBzTxZQG5Q,1,143.994,Bb Minor,Here Without You,3 Doors Down
2005,15,Shake It Off,Mariah Carey,https://www.youtube.com/watch?v=jZVdDl_asYY,0,,,,
2006,15,Buttons,"Pussycat Dolls,Snoop Dogg,",https://www.youtube.com/watch?v=VCLxJd1d84s,1,210.78,D Major,Buttons - Final Edit Version,"The Pussycat Dolls, Snoop Dogg"
2007,15,Smack That,"Akon,Eminem,",https://www.youtube.com/watch?v=bKDdT_nyP54,0,,,,
2008,15,Whatever You Like,T.I.,https://www.youtube.com/watch?v=nQJACVmankY,1,150.053,A Minor,Whatever You Like,T.I.
2009,15,Knock You Down,"Keri Hilson,Kanye West,Ne-Yo,",https://www.youtube.com/watch?v=p_RqWocthcc,1,155.165,Ab Major,Knock You Down,"Keri Hilson, Kanye West, Ne-Yo"
2010,15,Rude Boy,Rihanna,https://www.youtube.com/watch?v=e82VE8UtW8A,1,173.909,B Major,Rude Boy,Rihanna
2011,15,Just the Way You Are,Bruno Mars,https://www.youtube.com/watch?v=WfM8cdGClxQ,0,,,,
2012,15,Wide Awake,Katy Perry,https://www.youtube.com/watch?v=k0BWlvnBmIE,0,,,,
2013,15,Royals,Lorde,https://www.youtube.com/watch?v=nlcIKh6sBtc,1,84.876,G Major,Royals,Lorde
2014,15,Turn Down for What,"DJ Snake,Lil Jon,",https://www.youtube.com/watch?v=HMUDVMiITOU,1,100.014,Db Minor,Turn Down for What,"DJ Snake, Lil Jon"
2015,15,Bad Blood,"Taylor Swift,Kendrick Lamar,",https://www.youtube.com/watch?v=QcIy9NiNbmo,1,170.088,D Major,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),"Taylor Swift, Kendrick Lamar"
2016,15,I Took a Pill in Ibiza,Mike Posner,https://www.youtube.com/watch?v=foE1mO2yM04,0,,,,
2017,15,Unforgettable,"French Montana,Swae Lee,",https://www.youtube.com/watch?v=CTFtOOh47oo,1,97.985,Gb Major,Unforgettable,"French Montana, Swae Lee"
2018,15,Boo'd Up,Ella Mai,https://www.youtube.com/watch?v=6YNZlXfW6Ho,1,81.965,Bb Minor,Boo'd Up,Ella Mai
2019,15,Señorita,"Shawn Mendes,Camila Cabello,",https://www.youtube.com/watch?v=Pkh8UtuejGw,0,,,,
2020,15,Savage,"Megan Thee Stallion,Beyoncé,",https://www.youtube.com/watch?v=EOxj2ROIxok,1,84.459,Bb Minor,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé"
2021,15,Bad Habits,Ed Sheeran,https://www.youtube.com/watch?v=orJSJGHjBLI,0,,,,
2022,15,Enemy,"Imagine Dragons,JID,",https://www.youtube.com/watch?v=fO1VIk94ZUw,0,,,,
1973,16,Frankenstein,The Edgar Winter Group,https://www.youtube.com/watch?v=P8f-Qb-bwlU,1,96.152,D Minor,Frankenstein,The Edgar Winter Group
1974,16,Spiders and Snakes,Jim Stafford,https://www.youtube.com/watch?v=Je3EiwKArlQ,1,163.743,E Major,Spiders And Snakes,Jim Stafford
1975,16,Black Water,The Doobie Brothers,https://www.youtube.com/watch?v=m4oZCtfmh44,1,169.275,D Major,Black Water,The Doobie Brothers
1976,16,Get Closer,Seals and Crofts,https://www.youtube.com/watch?v=6aSvzT7nuF4,1,96.469,D Major,Get Closer,Seals and Crofts
1977,16,Whatcha Gonna Do?,Pablo Cruise,https://www.youtube.com/watch?v=6MugNC1nIYA,1,110.202,C Major,Whatcha Gonna Do?,Pablo Cruise
1978,16,Miss You,The Rolling Stones,https://www.youtube.com/watch?v=hic-dnps6MU,0,,,,
1979,16,Tragedy,Bee Gees,https://www.youtube.com/watch?v=WJcozEOWgxI,1,117.954,B Minor,Tragedy,Bee Gees
1980,16,Little Jeannie,Elton John,https://www.youtube.com/watch?v=Wlz6mTyiMZc,1,143.805,Bb Major,Little Jeannie,Elton John
1981,16,A Woman Needs Love (Just Like You Do),Raydio,https://www.youtube.com/watch?v=QvBmtqyaijI,1,91.113,Gb Minor,A Woman Needs Love (Just Like You Do),"Ray Parker Jr., Raydio"
1982,16,867-5309/Jenny,Tommy Tutone,https://www.youtube.com/watch?v=6WTdTwcmxyo,1,137.657,F Major,867-5309 / Jenny,Tommy Tutone
1983,16,Never Gonna Let You Go,Sérgio Mendes,https://www.youtube.com/watch?v=c12ity9FE1w,1,132.56,G Major,Never Gonna Let You Go,Sérgio Mendes
1984,16,The Reflex,Duran Duran,https://www.youtube.com/watch?v=J5ebkj9x5Ko,1,126.701,C Major,The Reflex - Single Version; 2010 Remaster,Duran Duran
1985,16,Don't You (Forget About Me),Simple Minds,https://www.youtube.com/watch?v=CdqoNKCCt7A,0,,,,
1986,16,There'll Be Sad Songs (To Make You Cry),Billy Ocean,https://www.youtube.com/watch?v=KLjpJZbxkAU,1,79.738,C Major,There'll Be Sad Songs (To Make You Cry),Billy Ocean
1987,16,Looking for a New Love,Jody Watley,https://www.youtube.com/watch?v=tfoIbXa3g0Q,1,109.196,E Minor,Looking For A New Love - Radio Edit,"Jody Watley, Louil Silas Jr."
1988,16,Seasons Change,Exposé,https://www.youtube.com/watch?v=IeGIC2FnZGA,0,,,,
1989,16,Girl I'm Gonna Miss You,Milli Vanilli,https://www.youtube.com/watch?v=ZbUENJ5FjBk,1,75.692,A Major,Girl I'm Gonna Miss You - US Single Version,Milli Vanilli
1990,16,All I Wanna Do Is Make Love to You,Heart,https://www.youtube.com/watch?v=OAfxs0IDeMs,0,,,,
1991,16,All the Man That I Need,Whitney Houston,https://www.youtube.com/watch?v=xmIp8j2cjDQ,1,150.944,F Minor,All The Man That I Need,Whitney Houston
1992,16,I'll Be There,Mariah Carey,https://www.youtube.com/watch?v=UIt3dx4an9c,0,,,,
1993,16,Dazzey Duks,Duice,https://www.youtube.com/watch?v=9zKx6xpS_gk,1,132.128,Db Major,Dazzey Duks,Duice
1994,16,Without You,Never Forget You,https://www.youtube.com/watch?v=Hat1Hc9SNwE,0,,,,
1995,16,Have You Ever Really Loved a Woman?,Bryan Adams,https://www.youtube.com/watch?v=diKIYv8tMC8,1,145.517,G Major,"Have You Ever Really Loved A Woman? - From ""Don Juan DeMarco"" Soundtrack",Bryan Adams
1996,16,Sittin' Up in My Room,Brandy,https://www.youtube.com/watch?v=yge2PqEZZJo,1,93.277,Ab Minor,Sittin' Up In My Room,Brandy
1997,16,Nobody,"Keith Sweat,Athena Cage,",https://www.youtube.com/watch?v=rcm9gwinug4,0,,,,
1998,16,My Way,Usher,https://www.youtube.com/watch?v=Zpb_7MsBlYY,1,90.079,F Minor,My Way,USHER
1999,16,I'm Your Angel,"R. Kelly,Celine Dion,",https://www.youtube.com/watch?v=e0z7PyuipBA,0,,,,
2000,16,There You Go,Pink,https://www.youtube.com/watch?v=66LnhtnSoKc,0,,,,
2001,16,Where the Party At,"Jagged Edge,Nelly,",https://www.youtube.com/watch?v=9UCY_U4QwqI,1,129.491,F Minor,Where the Party At (feat. Nelly),"Jagged Edge, Nelly"
2002,16,U Don't Have to Call,Usher,https://www.youtube.com/watch?v=3AszPTJXIgM,0,,,,
2003,16,Beautiful,Christina Aguilera,https://www.youtube.com/watch?v=_FE194VN6c4,1,76.19,F Minor,Beautiful,Christina Aguilera
2004,16,Slow Jamz,"Twista,Kanye West,Jamie Foxx,",https://www.youtube.com/watch?v=h_yJIlzvK0o,0,,,,
2005,16,Mr. Brightside,The Killers,https://www.youtube.com/watch?v=gGdGFtwCNBE,1,148.033,Db Major,Mr. Brightside,The Killers
2006,16,Run It!,"Chris Brown,Juelz Santana,",https://www.youtube.com/watch?v=w6QGe-pXgdI,0,,,,
2007,16,This Is Why I'm Hot,Mims,https://www.youtube.com/watch?v=TwyE3WJ4AWo,1,80.021,Ab Major,This Is Why I'm Hot,MiMS
2008,16,Disturbia,Rihanna,https://www.youtube.com/watch?v=E1mU6h4Xdxc,0,,,,
2009,16,Blame It,"Jamie Foxx,T-Pain,",https://www.youtube.com/watch?v=rfjtpp90lu8,1,176.052,G Major,Blame It,"Jamie Foxx, T-Pain"
2010,16,Telephone,"Lady Gaga,Beyoncé,",https://www.youtube.com/watch?v=EVBsypHzF3U,1,122.021,F Minor,Telephone,"Lady Gaga, Beyoncé"
2011,16,Tonight (I'm Lovin' You),"Enrique Iglesias,Ludacris,DJ Frank E,",https://www.youtube.com/watch?v=UecPqm2Dbes,0,,,,
2012,16,Good Feeling,Flo Rida,https://www.youtube.com/watch?v=3OnnDqH6Wj8,0,,,,
2013,16,I Knew You Were Trouble,Taylor Swift,https://www.youtube.com/watch?v=vNoKguSdy4Y,0,,,,
2014,16,The Monster,"Eminem,Rihanna,",https://www.youtube.com/watch?v=YVMXmaXd9FY,0,,,,
2015,16,Lean On,"Major Lazer,DJ Snake,MØ,",https://www.youtube.com/watch?v=YqeW9_5kURI,0,,,,
2016,16,Work from Home,"Fifth Harmony,Ty Dolla Sign,",https://www.youtube.com/watch?v=5GL9JoH4Sws,0,,,,
2017,16,24K Magic,Bruno Mars,https://www.youtube.com/watch?v=UqyT8IEBkvY,1,106.97,Db Major,24K Magic,Bruno Mars
2018,16,New Rules,Dua Lipa,https://www.youtube.com/watch?v=tHtnxluMXMw,1,116.073,A Minor,New Rules,Dua Lipa
2019,16,I Don't Care,"Ed Sheeran,Justin Bieber,",https://www.youtube.com/watch?v=y83x7MgzWOA,0,,,,
2020,16,Roxanne,Arizona Zervas,https://www.youtube.com/watch?v=16YnOUnbE6s,1,116.735,Gb Minor,ROXANNE,Arizona Zervas
2021,16,Heat Waves,Glass Animals,https://www.youtube.com/watch?v=mRD0-GxqHVo,0,,,,
2022,16,Industry Baby,"Lil Nas X,Jack Harlow,",https://www.youtube.com/watch?v=UTHLKHL_whs,0,,,,
1973,17,Drift Away,Dobie Gray,https://www.youtube.com/watch?v=NIuyDWzctgY,0,,,,
1974,17,Rock On,David Essex,https://www.youtube.com/watch?v=ckgGUhCuEJI,0,,,,
1975,17,The Ballroom Blitz,Sweet,https://www.youtube.com/watch?v=tqketmsRz1E,0,,,,
1976,17,"More, More, More",Andrea True Connection,https://www.youtube.com/watch?v=73RYirgeLV4,0,,,,
1977,17,Do You Wanna Make Love,Peter McCann,https://www.youtube.com/watch?v=9Kj-tdp7reE,0,,,,
1978,17,Just the Way You Are,Billy Joel,https://www.youtube.com/watch?v=_nUP7qs0b0E,0,,,,
1979,17,A Little More Love,Olivia Newton-John,https://www.youtube.com/watch?v=WoBqI73xiWo,0,,,,
1980,17,Ride Like the Wind,Christopher Cross,https://www.youtube.com/watch?v=ur8ftRFb2Ac,1,124.339,C Minor,Ride Like the Wind,Christopher Cross
1981,17,The Tide Is High,Blondie,https://www.youtube.com/watch?v=2_c5aj-FLbU,0,,,,
1982,17,Key Largo,Bertie Higgins,https://www.youtube.com/watch?v=Ru2tsT32pHA,0,,,,
1983,17,Hungry Like the Wolf,Duran Duran,https://www.youtube.com/watch?v=oJL-lCzEXgI,0,,,,
1984,17,Time After Time,Cyndi Lauper,https://www.youtube.com/watch?v=VdQY7BusJNU,0,,,,
1985,17,Cherish,Kool & the Gang,https://www.youtube.com/watch?v=Q5a9iNda2As,1,95.17,Db Major,Cherish - Single Version,Kool & The Gang
1986,17,Alive and Kicking,Simple Minds,https://www.youtube.com/watch?v=ljIQo1OHkTI,1,103.265,C Major,Alive And Kicking,Simple Minds
1987,17,Head to Toe,Lisa Lisa and Cult Jam,https://www.youtube.com/watch?v=51Iq8JmmfxY,0,,,,
1988,17,Is This Love,Whitesnake,https://www.youtube.com/watch?v=GOJk0HW_hJw,0,,,,
1989,17,The Look,Roxette,https://www.youtube.com/watch?v=LlVI7ZNiFlI,0,,,,
1990,17,Close to You,Maxi Priest,https://www.youtube.com/watch?v=fSR3YgUcyU4,0,,,,
1991,17,"Right Here, Right Now",Jesus Jones,https://www.youtube.com/watch?v=MznHdJReoeo,1,106.862,D Major,Right Here Right Now,Jesus Jones
1992,17,November Rain,Guns N' Roses,https://www.youtube.com/watch?v=8SbUC-UaAxE,1,79.79,B Major,November Rain,Guns N' Roses
1993,17,Show Me Love,Robin S.,https://www.youtube.com/watch?v=Ps2Jc28tQrw,0,,,,
1994,17,You Mean the World to Me,,https://www.youtube.com/watch?v=JB5FxcI7Pyw,1,167.662,B Major,You Mean the World to Me,Toni Braxton
1995,17,Always,Bon Jovi,https://www.youtube.com/watch?v=-XXM1B3Nitw,0,,,,
1996,17,How Do U Want It,"California Love,2Pac,K-Ci and JoJo,Dr. Dre,Roger Troutman,",https://www.youtube.com/watch?v=jB4t4-4xHPA,0,,,,
1997,17,Semi-Charmed Life,Third Eye Blind,https://www.youtube.com/watch?v=beINamVRGy4,0,,,,
1998,17,My All,Mariah Carey,https://www.youtube.com/watch?v=mIhI23gBBPQ,0,,,,
1999,17,All Star,Smash Mouth,https://www.youtube.com/watch?v=8ay_BkRuv-o,0,,,,
2000,17,Music,Madonna,https://www.youtube.com/watch?v=O9olMwwIGbc,0,,,,
2001,17,Angel,"Shaggy,Rayvon,",https://www.youtube.com/watch?v=XWJrPzAUzAs,1,170.531,Gb Major,Angel,"Shaggy, Rayvon"
2002,17,Family Affair,Mary J. Blige,https://www.youtube.com/watch?v=znlFu_lemsU,1,92.887,Ab Minor,Family Affair,Mary J. Blige
2003,17,I Know What You Want,"Busta Rhymes,Mariah Carey,",https://www.youtube.com/watch?v=WDaNJW_jEBo,1,85.996,Gb Major,I Know What You Want (feat. Flipmode Squad),"Busta Rhymes, Mariah Carey, Flipmode Squad"
2004,17,Someday,Nickelback,https://www.youtube.com/watch?v=lIVEbx8R1K8,0,,,,
2005,17,Just a Lil Bit,50 Cent,https://www.youtube.com/watch?v=GllEDACUbNo,1,96.946,Db Major,Just A Lil Bit,50 Cent
2006,17,So Sick,Ne-Yo,https://www.youtube.com/watch?v=IxszlJppRQI,1,92.795,Gb Major,So Sick,Ne-Yo
2007,17,It's Not Over,Daughtry,https://www.youtube.com/watch?v=Ve-mlWk0PVo,0,,,,
2008,17,Don't Stop the Music,Rihanna,https://www.youtube.com/watch?v=yd8jh9QYfEs,0,,,,
2009,17,I Know You Want Me (Calle Ocho),Pitbull,https://www.youtube.com/watch?v=P7sbjPggfkU,1,127.056,D Major,I Know You Want Me (Calle Ocho),Pitbull
2010,17,Teenage Dream,Katy Perry,https://www.youtube.com/watch?v=98WtmW-lfeE,1,120.012,Bb Major,Teenage Dream,Katy Perry
2011,17,Raise Your Glass,Pink,https://www.youtube.com/watch?v=XjVNlG5cZyQ,0,,,,
2012,17,Whistle,Flo Rida,https://www.youtube.com/watch?v=cSnkWzZ7ZAA,1,103.976,C Major,Whistle,Flo Rida
2013,17,We Can't Stop,Miley Cyrus,https://www.youtube.com/watch?v=LrUvu1mlWco,1,80.003,Db Minor,We Can't Stop,Miley Cyrus
2014,17,Say Something,"A Great Big World,Christina Aguilera,",https://www.youtube.com/watch?v=-2U0Ivkn2Ds,0,,,,
2015,17,Want to Want Me,Jason Derulo,https://www.youtube.com/watch?v=rClUOdS5Zyw,0,,,,
2016,17,This Is What You Came For,"Calvin Harris,Rihanna,",https://www.youtube.com/watch?v=kOkQ4T5WO9E,1,123.962,A Minor,This Is What You Came For,"Calvin Harris, Rihanna"
2017,17,Stay,"Zedd,Alessia Cara,",https://www.youtube.com/watch?v=h--P8HzYZ74,1,102.04,F Minor,Stay,"Zedd, Alessia Cara"
2018,17,Sad!,XXXTentacion,https://www.youtube.com/watch?v=N8JfbLg2f5Q,1,75.023,Ab Major,SAD!,XXXTENTACION
2019,17,Eastside,"Benny Blanco,Halsey,Khalid,",https://www.youtube.com/watch?v=qFMVHKyc-JU,1,89.949,Gb Minor,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid"
2020,17,Intentions,"Justin Bieber,Quavo,",https://www.youtube.com/watch?v=9p2wMpVVtXg,1,147.988,A Major,Intentions (feat. Quavo),"Justin Bieber, Quavo"
2021,17,Without You,The Kid Laroi,https://www.youtube.com/watch?v=SJOKlqJho8U,0,,,,
2022,17,ABCDEFU,Gayle,https://www.youtube.com/watch?v=NaFd8ucHLuo,0,,,,
1973,18,Little Willy,Sweet,https://www.youtube.com/watch?v=NM6I-pmV0RA,0,,,,
1974,18,Sunshine on My Shoulders,John Denver,https://www.youtube.com/watch?v=diwuu_r6GJE,1,146.68,Bb Major,Sunshine On My Shoulders,John Denver
1975,18,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,https://www.youtube.com/watch?v=QyrRYIrhLL0,1,124.806,E Major,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas
1976,18,Bohemian Rhapsody,Queen,https://www.youtube.com/watch?v=P3nng0HOhC4,1,71.068,C Minor,Bohemian Rhapsody - Remastered 2011,Queen
1977,18,Sir Duke,Stevie Wonder,https://www.youtube.com/watch?v=s6fPN5aQVDI,1,106.938,Gb Major,Sir Duke,Stevie Wonder
1978,18,With a Little Luck,Wings,https://www.youtube.com/watch?v=KzH-2NgtaZk,1,111.986,Gb Minor,With A Little Luck - Remastered 1993,Wings
1979,18,Heart of Glass,Blondie,https://www.youtube.com/watch?v=WGU_4-5RaxU,0,,,,
1980,18,Upside Down,Diana Ross,https://www.youtube.com/watch?v=GIAtE6ywgwA,1,107.868,F Minor,Upside Down,Diana Ross
1981,18,Just the Two of Us,"Grover Washington, Jr.,Bill Withers,",https://www.youtube.com/watch?v=Uw5OLnN7UvM,1,95.818,Bb Minor,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr., Bill Withers"
1982,18,You Should Hear How She Talks About You,Melissa Manchester,https://www.youtube.com/watch?v=GWbDykX47uU,0,,,,
1983,18,Let's Dance,David Bowie,https://www.youtube.com/watch?v=VbD_kBJc_gI,1,114.846,Bb Minor,Let's Dance - 2018 Remaster,David Bowie
